Country,Country_Subdivision_Primary,Country_Subdivision_Secondary,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP,Spend_ILS,Spend_NZD,Spend_TWD,Spend_AUD
US,US-CA,CA-40,895100,787700,63472750,1557500,5916700,20480000,5943500,254805000,3419400,3786375,8298000,680300,3204500,1333800,26298000,1235250
US,US-CA,CA-41,1068900,940600,75792250,1859800,7065100,24455000,7097000,304260000,4083000,4521225,9908250,812350,3826500,1592600,31404000,1474950
US,US-CA,CA-42,1044700,919350,74079250,1817775,6905400,23903000,6937000,297382500,3990700,4419075,9684000,793950,3740000,1556600,30693000,1441650
US,US-CA,CA-43,2128700,1873250,150946000,3703925,14070700,48705000,14134500,605955000,8131600,9004425,19733250,1617800,7620750,3171800,62541000,2937600
US,US-CA,CA-44,961100,845750,68150250,1672275,6352700,21989000,6381500,273577500,3671300,4065375,8909250,730400,3440750,1432000,28236000,1326300
US,US-CA,CA-45,2437300,2144800,172827250,4240850,16110400,55765000,16183500,693795000,9310400,10309650,22593750,1852350,8725500,3631600,71607000,3363450
US,US-CA,CA-46,1087400,956900,77105500,1892025,7187500,24879000,7220000,309532500,4153800,4599600,10080000,826400,3892750,1620200,31947000,1500600
US,US-CA,CA-47,1324400,1165450,93912250,2304425,8754200,30302000,8794000,377002500,5059200,5602125,12276750,1006550,4741250,1973400,38910000,1827600
US,US-CA,CA-48,2468400,2172200,175035000,4295025,16316200,56477000,16390000,702660000,9429300,10441350,22882500,1876000,8837000,3678000,72522000,3406350
US,US-CA,CA-49,1684100,1482000,119420250,2930350,11132000,38532000,11182500,479400000,6433300,7123800,15612000,1279900,6029000,2509400,49479000,2324100
US,US-CA,CA-5,1127600,992300,79958500,1962025,7453500,25800000,7487500,320985000,4307400,4769775,10452750,857000,4036750,1680200,33129000,1556100
US,US-CA,CA-50,1246200,1096700,88370750,2168450,8237600,28514000,8275000,354757500,4760600,5271600,11553000,947150,4461500,1856800,36615000,1719750
US,US-CA,CA-51,1029700,906150,73015250,1791650,6806300,23559000,6837000,293115000,3933400,4355625,9545250,782550,3686250,1534200,30252000,1420950
US,US-CA,CA-52,1656400,1457650,117456250,2882150,10948900,37899000,10998500,471517500,6327500,7006650,15354750,1258900,5930000,2468000,48666000,2285850
US,US-CA,CA-53,1299100,1143250,92121750,2260500,8587300,29724000,8626500,369810000,4962700,5495325,12042750,987350,4651000,1935800,38169000,1792800
US,US-CA,CA-6,1894500,1667150,134338750,3296425,12522600,43346000,12579500,539287500,7237000,8013750,17562000,1439800,6782250,2822800,55659000,2614350
US,US-CA,CA-7,1162200,1022700,82410250,2022200,7682000,26591000,7717000,330825000,4439500,4916025,10773750,883250,4160500,1731600,34146000,1603800
US,US-CA,CA-8,1266000,1114100,89772000,2202850,8368300,28966000,8406000,360382500,4836100,5355150,11736000,962150,4532250,1886400,37194000,1747050
US,US-CA,CA-9,1066800,938800,75648750,1856275,7051700,24409000,7083500,303682500,4075300,4512675,9889500,810800,3819250,1589600,31344000,1472250
US,US-CO,CO-1,4540100,3995250,321936750,7899725,30009900,103877000,30146000,1292377500,17343100,19204500,42086250,3450450,16253500,6764800,133386000,6265350
US,US-CO,CO-2,2022800,1780000,143433500,3519600,13370400,46281000,13431000,575797500,7726900,8556225,18750750,1537300,7241500,3014000,59430000,2791350
